,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
30,Lubiprostone-3003,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic, Idiopathic Constipation",III,Closed,NonCore,204,172,0,0,50,0,0,84.31%,12,0,0,IQVIA,0,,,2015-05-20,,2016-05-11,2016-05-25,,2017-04-28,,2017-06-05,,,,,2017-07-28,,,,,53,5,5,,,,,14,,,,38
43,TAK-041-1002,TAK-041,"A Phase, Open-Label, Randomized, Positron Emission Tomography Study in Healthy Subjects to Determine the Effect of TAK-041 on Amphetamine-Induced Dopamine Release in the CNS After Single-Dose Oral Administration",I,Closed,NS,12,12,33,0,21,0,2,100.00%,1,1,0,IQVIA,0,,2016-06-01,2016-07-20,,2016-12-26,2017-01-18,,2017-05-29,,2017-08-24,,,,,2017-10-19,,,,,56,5,5,,49,,,23,,,,87
52,TAK-390MR_106,"DEXILANT (dexlansoprazole, MR)","A Phase 1, Single-Center, Open-Label, 2-Arm Parallel Group, Single-Dose Study to Evaluate the Pharmacokinetics of Dexlansoprazole 30 mg and 60 mg Capsules in Healthy Chinese Subjects",I,Closed,GI,40,40,226,0,186,0,0,100.00%,1,0,0,Hangzhou Tigermed Consulting,0,,2011-08-05,2014-11-28,,2017-11-22,2017-12-07,,2018-01-25,,2018-02-08,,,,,2018-03-23,,,,,43,5,5,,1211,,,15,,,,14
53,TAK-390MR_301,"DEXILANT (dexlansoprazole, MR)","A Phase 3 Study to Evaluate the Efficacy and Safety of Dexlansoprazole (60 mg QD) and an Active Comparator, Lansoprazole (30 mg QD) on Healing of Erosive Esophagitis, and Maintenance of Healing in Subjects With Healed Erosive Esophagitis With Dexlansoprazole (30 mg QD) and Placebo",III,Terminated,GI,450,37,66,0,28,0,34,8.22%,25,0,0,Hangzhou Tigermed Consulting,0,,2011-08-05,2014-11-28,,2016-12-09,2016-12-30,,2017-08-23,,2017-10-30,,,,,2017-11-30,,,,,31,5,5,,1211,,,21,,,,68
54,TAK-390MR_302,"DEXILANT (dexlansoprazole, MR)",A Phase 3 Double Blind Study to Evaluate the Efficacy and Safety of Dexlansoprazole (30 mg QD) compared to Placebo on Heartburn Relief in Subjects With Symptomatic Nonerosive Gastroesophageal Reflux Disease (GERD),III,Closed,GI,200,217,326,0,108,0,12,108.50%,20,0,0,Hangzhou Tigermed Consulting,0,,2011-08-05,2014-11-28,,2016-12-09,2016-12-31,,2018-02-12,,2018-04-10,,,,,2018-05-11,,,,,31,5,5,,1211,,,22,,,,57
61,Alogliptin-1002,OSENI (alogliptin and pioglitazone),"A Randomized, Open-Label, Single-Dose, 4-Period Crossover Study to Determine the Bioequivalence of Alogliptin (25 mg) and Pioglitazone (15 and 30 mg) When Administered as Individual Tablets and as Fixed-Dose Combination Tablets to Healthy Russian Subjects",I,Closed,NonCore,72,72,112,0,40,0,4,100.00%,1,0,0,Atlant,0,,2017-01-30,2017-07-26,,2018-05-24,2018-06-01,,2018-06-08,,2018-07-13,,,,,2018-09-12,,,,,61,5,5,,177,,,8,,,,35
69,VedolizumabSC-1017,Entyvio SC,"A Phase 1, Open-Label, Randomized, Parallel Group Pilot Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of Vedolizumab Administered in Prefilled Syringe Versus Prefilled Syringe in Needle Safety Device in Healthy Subjects",I,Closed,GI,24,24,47,0,23,0,0,100.00%,1,0,0,Celerion,0,,,2017-12-17,,2018-02-06,2018-02-26,,2018-02-26,,2018-08-12,,,,,2018-09-19,,,,,38,5,5,,,,,20,,,,167
74,Esomeprazole-1001,vonoprazan,"A Phase 1, Randomized, Open-label, 2-way Cross-over Study to Evaluate the Bioequivalence Between a Single Oral Dose of Esomeprazole 40 mg Capsules and Esomeprazole 40 mg Tablets in Healthy Subjects",I,Closed,GI,52,52,110,0,58,0,2,100.00%,1,0,0,PRA,0,,2016-09-23,2017-01-31,,2017-03-27,2017-04-22,,2017-05-05,,2017-05-13,,,,,2017-06-26,,,,,44,5,5,,130,,,26,,,,8
77,Vedolizumab-2004,Entyvio,"An open-label, dose-finding study of intravenous (IV) vedolizumab for treatment of steroid-refractory graft-versus-host disease (GvHD) in patients who have undergone allogeneic hematopoietic stem cell transplantation (allo-HSCT)",II,Closed,GI,17,17,0,0,3,16,0,100.00%,15,0,0,IQVIA,0,,2016-05-17,2016-08-26,,2017-04-28,2017-04-28,,,,2018-05-09,,,,,2018-10-10,,,,,154,5,5,,101,,,0,,,,
82,C16029,Ninlaro,"A Phase 2/3, Randomized, Open-Label Study Comparing Oral Ixazomib/Dexamethasone and Oral Pomalidomide/Dexamethasone in Relapsed and/or Refractory Multiple Myeloma",III,Recruitment Complete,Oncology,120,122,195,0,73,122,0,101.67%,117,30,0,PPD,0,,,2017-03-29,,,2018-02-22,,2019-10-07,,2020-03-26,,,,,2020-09-04,,,,,162,5,5,,,,,,,,,171
108,TBD-1-1MYTTL,TAK-671,TAK-671-SRD,I,Planned,GI,48,0,0,0,0,0,0,0,1,0,0,TBD,0,,2017-11-23,2018-03-29,,2018-08-30,2018-09-18,,2020-02-05,,2020-04-16,,,,,2020-06-16,,,,,61,5,5,,126,,,19,,,,71
111,TAK-935-2001,soticlestat (TAK-935),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Dose-Escalation Study With an Open-Label Phase to Examine the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of TAK-935 as an Adjunctive Therapy in Subjects With Developmental and/or Epileptic Encephalopathies",II,Closed,NS,18,18,26,0,8,0,4,100.00%,10,0,0,PRA,0,,2016-10-17,2017-04-05,,2017-06-13,2017-08-17,,2018-06-14,,2018-10-12,,,,,2018-11-02,,,,,21,5,5,,170,,,65,,,,120
115,TBD-1-1P9TDT,soticlestat (TAK-935),"Assessment and validation of Plasma Biomarker, 24 Hydroxycholesterol (24 HC), in Epilepsy Syndromes in Children and Adults",0,Terminated,NS,100,0,0,0,0,0,0,0,3,0,0,TBD,0,,2019-01-22,2019-03-26,,2019-06-25,2019-06-25,,2019-12-17,,2019-12-25,,,,,2020-02-19,,,,,56,5,5,,63,,,0,,,,8
116,TAK-041-2001,TAK-041,"A randomized, double-blind, placebo-controlled, three-period cross-over study to evaluate the effects of add-on TAK-041 on motivation and reward in stable patients with Schizophrenia.",II,All Activities Closed,NS,23,24,86,0,62,86,4,104.35%,1,1,0,PRA,0,,2017-03-13,2017-04-26,,2018-03-09,2018-03-15,,2019-08-02,,2019-11-08,,,,,2019-12-12,,,,,34,5,5,,44,,,6,,,,98
120,Vedolizumab-1019,Entyvio,PK Study_2nd gen cell line (Vedolizumab),I,Completed,GI,190,190,375,0,0,0,0,100.00%,1,0,0,Celerion,0,,2019-04-17,2019-10-04,,2019-12-02,2019-12-05,,2020-02-18,,2020-07-06,,,,,2020-10-09,,,,,95,5,5,,170,,,3,,,,139
125,TAK-954-1005,TAK-954,NHV ADME Study,I,Closed,GI,6,6,11,0,1,6,1,100.00%,1,0,0,PRA,0,,2017-12-13,2018-03-15,,2018-04-27,2018-05-18,,2018-05-18,,2018-06-01,,,,,2018-11-08,,,,,160,5,5,,92,,,21,,,,14
126,TAK-954-1004,TAK-954,"A Fixed Sequence, Open-Label, 2-Period Crossover Trial to Evaluate the Effect of the Potent CYP3A4 Inhibitor Itraconazole on the Pharmacokinetics of TAK-954 in Healthy Adult Subjects",I,Closed,GI,11,10,27,0,8,0,0,90.91%,1,0,0,PRA,0,,2016-12-10,2017-05-03,,2017-06-27,2017-06-27,,2017-06-27,,2017-07-24,,,,,2017-08-28,,,,,35,5,5,,144,,,0,,,,27
129,TAK-954-1007,TAK-954,"An Open-Label, Parallel Group Study to Evaluate the Effect of Renal Impairment and dialysis treatment on the Pharmacokinetics (PK) of TAK-954 following a single intravenous dose of TAK-954.",I,All Activities Closed,GI,32,32,55,0,22,0,1,100.00%,4,4,0,PRA,0,,2017-06-01,2017-06-29,,2017-11-20,2017-12-01,,2019-07-30,,2019-08-12,,,,,2019-09-06,,,,,25,5,5,,28,,,11,,,,13
130,TAK-954-1006,TAK-954,"A Phase 1 Non-Randomized, Open-Label Study to Evaluate the Effect of Hepatic Impairment on the Single Dose Pharmacokinetics of Intravenous TAK-954",I,Closed,GI,24,25,34,0,9,0,2,104.17%,2,2,0,PRA,0,,2017-04-17,2017-05-26,,2017-11-09,2017-12-12,,2018-08-28,,2018-09-10,,,,,2018-10-15,,,,,35,5,5,,39,,,33,,,,13
133,TAK-954-2002,TAK-954,"A Phase 2b, Randomized, Multi-Center, Double-Blind, Dose-Ranging Study to Assess the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Intravenous TAK-954 in Critically Ill Patients With Enteral Feeding Intolerance",II,Terminated,GI,200,1,3,0,2,0,1,0.50%,40,0,0,PRA,0,,2017-11-20,2018-01-19,,2018-08-25,2018-08-25,,2018-08-25,,2018-08-29,,,,,2019-02-01,,,,,156,5,5,,60,,,0,,,,4
140,TAK-831-2001,TAK-831,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Cross-Over Study to Evaluate Pharmacodynamic Effects,  Safety, Tolerability and Pharmacokinetics of Multiple Doses of  Oral TAK-831 in Adult Patients with Schizophrenia",II,Completed,NS,40,31,52,0,21,31,6,77.50%,3,2,0,PRA,0,,2017-03-21,2017-05-03,,2018-01-04,2018-03-20,,2020-11-11,,2020-12-21,,,,,2021-02-15,,,,,56,5,5,,43,,,75,,,,40
143,Cx611-0204,Alofisel,SEPCELL,II,Completed,GI,80,84,90,0,6,0,0,105.00%,27,0,0,TFS,0,,2017-01-31,2017-01-31,,2017-01-31,2017-01-31,,2019-12-17,,2020-07-31,,,,,2020-10-15,,,,,76,5,5,,0,,,0,,,,227
146,TAK-906-1002,TAK-906,"A 2-Part, Randomized, Double Blind and Open-Label, Placebo and Active-Comparator Controlled  Trial to Evaluate the Safety, Pharmacokinetics (PK) and Pharmacodynamics (PD) for TAK-906 in Subjects with Diabetes Mellitus with Gastroparesis (DG) or Idiopathic Gastroparesis (IG)",II,Closed,GI,48,51,76,0,25,0,3,106.25%,9,0,0,PRA,0,,2016-12-13,2017-05-24,,2017-09-25,2017-10-04,,2018-02-20,,2018-03-11,,,,,2018-07-19,,,,,130,5,5,,162,,,9,,,,19
157,TAK-925-1002,TAK-925,"A Phase 1b, 4-Period Crossover, Placebo-Controlled, Randomized, Single Dose Study to
Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of TAK-925 in
Sleep-Deprived Healthy Adults Utilizing Modafinil as an Active Comparator",II,Closed,NS,20,20,77,0,57,20,2,100.00%,1,0,0,PRA,0,,2018-01-31,2018-03-08,,2018-05-04,2018-05-30,,2018-09-18,,2018-11-07,,,,,2018-12-11,,,,,34,5,5,,36,,,26,,,,50
158,Brigatinib-2002,Alunbrig,"Brigatinib in Patients with Anaplastic Lymphoma Kinase (ALK)-positive, Advanced Non-small Cell Lung Cancer (NSCLC) progressed with Alectinib or Ceritinib)",II,Recruitment Complete,Oncology,103,104,123,0,19,0,103,100.97%,89,61,0,TBD,0,,,2018-10-06,,,2019-02-12,,2019-12-30,,2020-09-30,,,,,2020-11-26,,,,,57,5,5,,,,,,,,,275
159,TAK-418-1003,TAK-418,"TAK-418 ,MRD",I,Closed,NS,48,24,0,0,0,0,0,50.00%,2,0,0,PRA,0,,2018-02-05,2018-03-23,,2018-05-28,2018-07-10,,,,2019-01-18,,,,,2019-02-12,,,,,25,5,5,,46,,,43,,,,
161,VedolizumabSC-1021,Entyvio SC,"A Phase 1, Open-Label, Randomized, Parallel Group Pilot Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of Vedolizumab Administered in Prefilled Syringe Versus Prefilled Syringe in Autoinjector in Healthy Subjects",I,Closed,GI,24,24,58,0,34,0,0,100.00%,2,0,0,Celerion,0,,,2017-12-18,,2018-02-22,2018-03-10,,2018-03-10,,2018-08-24,,,,,2018-10-05,,,,,42,5,5,,,,,16,,,,167
162,VedolizumabSC-1022,Entyvio SC,"A Phase 1, Open-Label, Randomized, Parallel Group Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of Vedolizumab Administered in Prefilled Syringe Versus Prefilled Syringe in Autoinjector in Healthy Subjects",I,Closed,GI,204,204,369,0,165,0,3,100.00%,2,0,0,Celerion,0,,,2017-12-18,,2018-03-12,2018-03-24,,2018-06-10,,2018-11-21,,,,,2018-12-11,,,,,20,5,5,,,,,12,,,,164
163,TAK-788-1001,Mobocertinib (TAK-788),Ph1 SRD NHV/Pilot Food Effect,I,All Activities Closed,Oncology,68,68,161,0,97,0,0,100.00%,1,0,0,PRA,0,,2017-12-05,2018-02-08,,2018-03-28,2018-04-18,,2018-12-12,2019-01-18,2019-01-18,,,,,2019-05-22,,,,,124,5,5,,65,,,21,,,37,37
193,TAK-935-2006,soticlestat (TAK-935),"A Phase 2, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy, Safety, and Tolerability of TAK-935 as an Adjunctive Therapy in Pediatric Patients with Developmental and/or Epileptic Encephalopathies",II,Completed,NS,124,141,173,0,32,0,15,113.71%,45,0,0,PPD,0,,,2018-02-20,,2018-08-08,2018-09-19,,2020-01-23,,2020-06-09,,,,,2020-07-20,,,,,41,5,5,,,,,42,,,,138
197,TAK-951-1001,TAK-951,TAK-951 FIH,I,Completed,GI,128,124,124,0,0,0,0,96.88%,1,0,0,PRA,0,,2018-10-05,2019-01-04,,2019-02-26,2019-03-25,,2020-09-23,,2020-11-02,,,,,2021-02-26,,,,,116,5,5,,91,,,27,,,,40
210,TAK-418-0002,TAK-418,"An open-label, brain positron emission tomography, Phase 0 study of [18F]MNI-1054 as a marker for Lysine-specific histone demethylase 1A (LSD1) Human Validation Study",0,Closed,NS,12,0,0,0,0,0,0,0.00%,1,0,0,0,0,,2018-07-13,2018-07-16,,2018-08-27,2018-09-14,,2018-10-12,,2018-11-06,,,,,2018-11-07,,,,,1,5,5,,3,,,18,,,,25
215,TAK-935-2004,soticlestat (TAK-935),"A MULTICENTER, OPEN-LABEL, PILOT STUDY OF TAK-935 IN PATIENTS WITH 15Q DUPLICATION SYNDROME OR CDKL5 DEFICIENCY DISORDER",II,Completed,NS,30,20,28,0,8,0,2,66.67%,3,0,0,PPD,0,,2018-03-09,2018-05-22,,2018-09-10,2018-10-08,,2020-06-19,,2020-07-13,,,,,2020-07-31,,,,,18,5,5,,74,,,28,,,,24
218,TAK-925-2002,TAK-925,"A Phase 1b Randomized, Double-Blind, Placebo-Controlled, Crossover Study of a Single Intravenous Infusion Dose of TAK-925 in Patients With Idiopathic Hypersomnia",II,Completed,NS,40,28,0,0,41,28,0,70.00%,10,0,0,IQVIA,0,,2019-06-13,2019-08-06,,2020-01-26,2020-03-10,,2020-11-17,,2020-11-25,,,,,2021-01-21,,,,,57,5,5,,54,,,44,,,,8
219,TAK-925-2001,TAK-925,"A Phase 1b Randomized, Double-blind, Placebo-Controlled, Crossover Study of 2 Single Intravenous Infusion Doses of TAK-925 in Subjects With Obstructive Sleep Apnea Who Are Experiencing Excessive Daytime Sleepiness Despite Adequate Use of CPAP",II,All Activities Closed,NS,42,25,119,0,94,25,2,59.52%,18,0,0,IQVIA,0,,2019-07-15,2019-08-06,,2019-11-19,2019-12-01,,2020-03-22,,2020-04-02,,,,,2020-06-18,,,,,77,5,5,,22,,,12,,,,11
220,TAK-906-1009,TAK-906,"A OPEN-LABEL, 2-PERIOD, CROSSOVER STUDY TO EVALUATE THE EFFECT OF OATP1B1 AND OATP1B3 INHIBITOR ON THE PHARMACOKINETICS OF ORAL TAK-906 IN HEALTHY ADULT SUBJECTS",I,All Activities Closed,GI,12,12,34,0,0,0,0,100.00%,1,0,0,Celerion,0,,2019-07-10,2019-09-20,,2019-10-12,2019-10-25,,2019-10-25,,2019-11-12,,,,,2020-01-06,,,,,55,5,5,,72,,,13,,,,18
274,TAK-935-1008,soticlestat (TAK-935),ADME/ABA (TAK-935),I,Planned,NS,16,16,0,0,0,0,0,100.00%,1,0,0,Celerion,0,,2020-02-24,2020-06-08,,2020-07-07,2020-07-09,,2020-07-17,,2020-08-16,,,,,2020-09-18,,,,,33,5,5,,105,,,2,,,,30
308,TAK-994-1006,TAK-994,"A Phase 1, Relative Bio-Availability Study of TAK-994 in Normal Healthy Volunteers",I,Recruitment Complete,NS,54,54,119,0,0,0,0,100.00%,2,0,0,Celerion,0,,2020-10-15,2020-12-17,,2021-02-16,2021-03-02,,2021-03-12,,2021-04-05,,,,,2021-05-07,,,,,32,5,5,,63,,,14,,,,24
316,TAK-951-1004,TAK-951,A Ph1 IV PK profiling study in healthy volunteers,I,Completed,GI,40,32,112,0,0,0,0,80.00%,1,0,0,Celerion,0,,2020-02-14,2020-05-11,,2020-07-07,2020-10-09,,2021-04-18,,2021-05-16,,,,,2021-06-14,,,,,29,5,5,,87,,,94,,,,28
333,TAK-925-1013,TAK-925,PK study - TAK-925 and Cobicistat,I,All Activities Closed,NS,16,16,37,0,0,0,0,100.00%,1,0,0,Celerion,0,,2019-11-25,2020-01-24,,2020-02-11,2020-02-25,,2020-02-26,,2020-03-13,,,,,2020-04-24,,,,,42,5,5,,60,,,14,,,,16
358,TAK-935-1004,soticlestat (TAK-935),A phase 1 study to characterize the safety and tolerability profile of TAK-935 following single and multiple dose with titration in healthy Japanese adults subjects.,I,Reported,NS,32,0,0,0,0,0,0,0.00%,1,0,0,PRA,0,,2020-03-05,2020-05-11,,2020-08-13,2020-08-24,,2020-10-21,,2020-11-14,,,,,2021-03-18,,,,,124,5,5,,67,,,11,,,,24
393,TAK-994-1503,TAK-994,"A Randomized, Double-Blind, Placebo-Controlled, 3-Period Crossover Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics of Oral TAK 994 in an Acute Sleep Phase Delay Paradigm in Healthy Male Subjects",I,Reported,NS,18,19,50,0,31,19,5,105.56%,1,1,0,PRA,0,,2020-06-01,2020-08-10,,2020-09-23,2020-10-14,,2020-12-03,,2020-12-30,,,,,2021-01-28,,,,,29,5,5,,70,,,21,,,,27
486,C16009,Ninlaro,"Phase 1 Study of Oral MLN9708 to Assess Relative Bioavailability; Food Effect; Drug-Drug Interaction With Ketoconazole, Clarithromycin, or Rifampin; and Safety and Tolerability in Patients With Advanced Nonhematologic Malignancies or Lymphoma",I,Closed,Oncology,125,112,149,0,37,0,36,89.60%,6,1,0,ICON,0,,,2011-08-04,,,2011-11-11,,2015-03-09,2015-07-21,2016-12-31,,,,2016-12-31,2015-05-27,,,,2016-08-17,-584,5,5,,,,,,,,134,663
509,C13008,Entyvio,"A Phase 3, Open-label Study to Determine the Long-Term Safety and Efficacy of MLN0002 in Patients with Ulcerative Colitis and Crohn’s Disease",III,Closed,GI,"2,200","2,244",0,0,0,0,1502,102.00%,462,1,0,IQVIA,0,,,2008-06-26,,,2009-05-22,,2012-10-03,,2017-10-31,,,,,2018-01-29,,,,,90,5,5,,,,,,,,,1854
521,C16003,Ninlaro,"An Open-Label, Dose-Escalation, Phase 1 Study of the Oral Form of MLN9708, a Second-Generation Proteasome Inhibitor, in Adult Patients with Relapsed and/or Refractory Multiple Myeloma",I,Closed,Oncology,63,0,0,0,2,0,0,0.00%,7,0,0,IQVIA,0,,,2009-05-18,,,2009-10-12,,2012-06-18,,2012-10-22,,,,2017-05-23,2013-03-25,,,,2017-06-30,154,5,5,,,,,,,,,126
522,C16004,Ninlaro,"An Open Label, Dose Escalation, Phase 1 Study Evaluating the Safety and Tolerability of Weekly Dosing of the Oral Form of MLN9708, a Second Generation Proteasome Inhibitor, in Adult patients with Relapsed and Refractory Multiple Myeloma",I,Closed,Oncology,70,1,0,0,1,0,0,1.43%,6,0,0,0,0,,,2009-06-22,,,2009-11-30,,2012-09-24,2014-01-30,2014-09-20,,,,2014-09-20,2013-06-10,,,,2014-04-20,-467,5,5,,,,,,,,493,726
523,C16005,Ninlaro,"An Open-Label, Dose-Escalation Phase 1/2 Study of the Oral Form of MLN9708, a Second-Generation Proteasome Inhibitor, Administered in Combination with Lenalidomide and Low-Dose Dexamethasone in Patients with Newly Diagnosed Multiple Myeloma Requiring Systemic Treatment",II,Closed,Oncology,61,65,0,0,0,0,64,106.56%,16,0,0,PPD,0,,,2010-05-26,,,2010-11-22,,2012-02-28,2013-10-20,2013-10-20,,,,2018-02-01,2014-04-07,,,,2018-03-02,169,5,5,,,,,,,,600,600
