,ProtocolNum,ProtocolPhase,TA,PlannedEnrollment,ActualEnrollment,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,CRO,LSO_ActualDate,DBL_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,FSS_to_FSI,LSI_to_LSO,AE,CM,DS,DV,EG,EX,FA,LB,MH,PR,SS,VS,Lock_duration,CloseOut_new
26,TAK-954-1005,I,GI,6,6,6.0,1.0,100.00%,1.0,0.0,PRA,2018-06-01,2018-11-08,160,5,5,,92.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
27,TAK-954-1004,I,GI,11,10,0.0,0.0,90.91%,1.0,0.0,PRA,2017-07-24,2017-08-28,35,5,5,,144.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
28,TAK-954-1007,I,GI,32,32,0.0,1.0,100.00%,4.0,4.0,PRA,2019-08-12,2020-07-09,25,5,5,,28.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,332
29,TAK-954-1006,I,GI,24,25,0.0,2.0,104.17%,2.0,2.0,PRA,2018-09-10,2018-10-15,35,5,5,,39.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
30,TAK-954-2002,II,GI,200,1,0.0,1.0,0.50%,40.0,0.0,PRA,2018-08-29,2019-02-01,156,5,5,,60.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156
31,TAK-831-2001,II,NS,40,31,31.0,6.0,77.50%,3.0,2.0,PRA,2020-12-21,2021-02-15,56,5,5,,43.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
32,Cx611-0204,II,GI,80,84,0.0,0.0,105.00%,27.0,0.0,TFS,2020-07-31,2020-10-15,76,5,5,,0.0,0.0,227.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76
33,TAK-906-1002,II,GI,48,51,0.0,3.0,106.25%,9.0,0.0,PRA,2018-03-11,2018-07-19,130,5,5,,162.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
34,TAK-925-1002,II,NS,20,20,20.0,2.0,100.00%,1.0,0.0,PRA,2018-11-07,2018-12-11,34,5,5,,36.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34
35,Brigatinib-2002,II,Oncology,103,104,0.0,103.0,100.97%,89.0,61.0,TBD,2020-09-30,2021-03-23,57,5,5,,,,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,174
36,TAK-418-1003,I,NS,48,24,0.0,0.0,50.00%,2.0,0.0,PRA,2019-01-18,2019-02-12,25,5,5,,46.0,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
37,VedolizumabSC-1021,I,GI,24,24,0.0,0.0,100.00%,2.0,0.0,Celerion,2018-08-24,2018-10-05,42,5,5,,,16.0,167.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42
38,VedolizumabSC-1022,I,GI,204,204,0.0,3.0,100.00%,2.0,0.0,Celerion,2018-11-21,2018-12-11,20,5,5,,,12.0,164.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20
39,TAK-788-1001,I,Oncology,68,68,0.0,0.0,100.00%,1.0,0.0,PRA,2019-01-18,2019-05-22,124,5,5,,65.0,21.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124
40,TAK-935-2006,II,NS,124,141,0.0,15.0,113.71%,45.0,0.0,PPD,2020-06-09,2020-07-20,41,5,5,,,42.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
41,TAK-951-1001,I,GI,128,124,0.0,0.0,96.88%,1.0,0.0,PRA,2020-11-02,2021-03-02,116,5,5,,91.0,27.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,120
42,TAK-418-0002,0,NS,12,0,0.0,0.0,0.00%,1.0,0.0,0,2018-11-06,2018-11-07,1,5,5,,3.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43,TAK-935-2004,II,NS,30,20,0.0,2.0,66.67%,3.0,0.0,PPD,2020-07-13,2021-06-09,18,5,5,,74.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,331
44,TAK-925-2002,II,NS,40,28,28.0,0.0,70.00%,10.0,0.0,IQVIA,2020-11-25,2021-01-21,57,5,5,,54.0,44.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,57
45,TAK-925-2001,II,NS,42,25,25.0,2.0,59.52%,18.0,0.0,IQVIA,2020-04-02,2020-11-12,77,5,5,,22.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,224
46,TAK-906-1009,I,GI,12,12,0.0,0.0,100.00%,1.0,0.0,Celerion,2019-11-12,2020-01-06,55,5,5,,72.0,13.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55
47,TAK-935-1008,I,NS,16,16,0.0,0.0,100.00%,1.0,0.0,Celerion,2020-08-16,2020-09-18,33,5,5,,105.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
48,TAK-994-1006,I,NS,54,54,0.0,0.0,100.00%,2.0,0.0,Celerion,2021-04-05,2021-05-07,32,5,5,,63.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
49,TAK-951-1004,I,GI,40,32,0.0,0.0,80.00%,1.0,0.0,Celerion,2021-05-16,2021-06-14,29,5,5,,87.0,94.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29
50,TAK-925-1013,I,NS,16,16,0.0,0.0,100.00%,1.0,0.0,Celerion,2020-03-13,2020-09-09,42,5,5,,60.0,14.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180
51,TAK-935-1004,I,NS,32,0,0.0,0.0,0.00%,1.0,0.0,PRA,2020-11-14,2021-03-18,124,5,5,,67.0,11.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,124
52,TAK-994-1503,I,NS,18,19,19.0,5.0,105.56%,1.0,1.0,PRA,2020-12-30,2021-03-11,29,5,5,,70.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71
53,C13008,III,GI,"2,200","2,244",0.0,1502.0,102.00%,462.0,1.0,IQVIA,2017-10-31,2018-01-29,90,5,5,,,,1854.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90
54,C16003,I,Oncology,63,0,0.0,0.0,0.00%,7.0,0.0,IQVIA,2012-10-22,2013-03-25,154,5,5,,,,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154
55,C16005,II,Oncology,61,65,0.0,64.0,106.56%,16.0,0.0,PPD,2013-10-20,2014-04-07,169,5,5,,,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169
56,C16006,II,Oncology,61,61,0.0,27.0,100.00%,31.0,0.0,PPD,2016-12-29,2017-05-03,125,5,5,,,,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
57,C16007,I,Oncology,32,27,0.0,0.0,84.38%,10.0,0.0,ICON,2013-12-06,2014-02-12,68,5,5,,,,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
58,C16008,II,Oncology,60,64,0.0,54.0,106.67%,19.0,0.0,PPD,2013-10-14,2014-02-28,137,5,5,,,,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
59,C15002,I,Oncology,99,56,0.0,0.0,56.57%,14.0,1.0,PPD,2013-07-15,2013-09-30,77,5,5,,,,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
60,C15001,I,Oncology,89,62,0.0,1.0,69.66%,6.0,1.0,PPD,2012-02-15,2012-03-16,30,5,5,,,,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
61,C15003,I,Oncology,72,72,0.0,3.0,100.00%,10.0,0.0,PPD,2013-08-25,2013-10-28,64,5,5,,,,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
62,C15005,I,Oncology,66,37,0.0,3.0,56.06%,3.0,1.0,PPD,2012-05-22,2012-08-17,87,5,5,,,,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
63,C25002,II,Oncology,42,36,0.0,0.0,85.71%,24.0,5.0,ICON,2016-10-12,2016-12-03,52,5,5,,,,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
64,C25003,III,Oncology,23,"1,309",0.0,0.0,5691.30%,258.0,223.0,ICON,2017-04-20,2017-06-12,53,5,5,,,,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
65,C16010,III,Oncology,41,838,838.0,0.0,2043.90%,150.0,114.0,PPD,2014-10-30,2015-01-15,77,5,5,,,15.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
66,C14012,III,Oncology,354,155,274.0,0.0,43.79%,180.0,1.0,IQVIA,2015-06-30,2015-09-15,77,5,5,,,,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
67,C27001,I,Oncology,218,176,0.0,5.0,80.73%,2.0,0.0,Hammersmith Medicines Research,2012-12-18,2013-01-17,30,5,5,,,,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
68,TAK-390MR_206,II,NonCore,104,0,0.0,0.0,0.00%,56.0,0.0,IQVIA,2014-01-21,2014-03-13,51,5,5,,248.0,,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
69,TBD-18831,I,Oncology,50,0,0.0,0.0,0,1.0,0.0,TBD,2015-05-17,2015-06-15,29,5,5,,,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
70,TAK-931-1002,I,Oncology,80,80,0.0,80.0,100.00%,2.0,0.0,PPD,2019-12-20,2020-04-06,108,5,5,,27.0,,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
71,TAK-931-1003,I,Oncology,44,21,21.0,21.0,47.73%,4.0,0.0,PRA,2019-12-03,2020-04-07,126,5,5,,51.0,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
72,TAK-931-2001,II,Oncology,142,101,0.0,101.0,71.13%,15.0,0.0,PRA,2020-08-24,2020-11-06,74,5,5,,120.0,,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
73,C16047,II,Oncology,60,61,0.0,43.0,101.67%,25.0,35.0,PRA,2020-01-31,2020-03-17,46,5,5,,76.0,,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
74,C31008,I,Oncology,46,28,0.0,0.0,60.87%,4.0,0.0,IQVIA,2019-08-28,2019-10-24,57,5,5,,118.0,,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
75,C34004,II,Oncology,122,49,0.0,45.0,40.16%,50.0,0.0,PRA,2019-01-31,2019-04-11,70,5,5,,348.0,,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
76,C34003,II,Oncology,48,41,0.0,41.0,85.42%,25.0,1.0,PRA,2018-10-15,2019-05-07,204,5,5,,114.0,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
77,C34005,II,Oncology,55,43,0.0,0.0,78.18%,15.0,0.0,PRA,2020-07-27,2020-09-04,39,5,5,,68.0,,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39
78,C25010,II,Oncology,30,39,39.0,39.0,130.00%,9.0,0.0,IQVIA,2018-08-02,2018-09-12,41,5,5,,,16.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
79,Pevonedistat-1014,I,Oncology,45,44,0.0,3.0,97.78%,8.0,6.0,PRA,2019-01-07,2019-11-13,119,5,5,,,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,310
80,Pevonedistat-1013,I,Oncology,8,8,0.0,1.0,100.00%,2.0,0.0,PRA,2018-02-09,2018-04-09,59,5,5,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59
81,Leuprorelin-4001,IV,NonCore,300,307,0.0,23.0,102.33%,12.0,0.0,Hangzhou Tigermed Consulting,2018-11-19,2019-01-17,59,5,5,,-64.0,14.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
82,TAK-390MR-1001,I,NonCore,104,116,0.0,16.0,111.54%,1.0,0.0,PRA,2017-07-14,2017-08-16,33,5,5,,229.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
83,TAK-041-1001,I,NS,114,114,0.0,3.0,100.00%,1.0,1.0,PPD,2019-09-22,2019-11-14,53,5,5,,-213.0,49.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
84,C31006,II,Oncology,141,141,0.0,141.0,100.00%,55.0,0.0,GEICAM,2019-11-29,2020-04-06,129,5,5,,203.0,,564.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,129
85,Vortioxetine-4001,IV,NS,352,361,0.0,67.0,102.56%,16.0,0.0,IQVIA,2017-06-09,2017-07-31,52,5,5,,148.0,15.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
86,Vedolizumab-1015,II,GI,24,24,0.0,6.0,100.00%,4.0,0.0,PRA,2018-07-10,2018-08-29,50,5,5,,64.0,,383.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,50
87,Vedolizumab-1014,I,GI,16,16,0.0,0.0,100.00%,1.0,0.0,PRA,2018-07-26,2018-11-14,111,5,5,,112.0,15.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
88,Vedolizumab-3034,III,GI,204,215,215.0,108.0,105.39%,30.0,0.0,IQVIA,2019-02-28,2019-06-13,105,5,5,,111.0,21.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
89,TAK-071-1001,I,NS,186,177,0.0,1.0,95.16%,1.0,1.0,PPD,2017-06-08,2017-08-14,67,5,5,,128.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
90,TAK-906-1003,I,GI,12,12,0.0,1.0,100.00%,1.0,0.0,PRA,2017-07-11,2017-08-18,38,5,5,,27.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
91,Pevonedistat-1015,I,Oncology,20,20,0.0,20.0,100.00%,4.0,0.0,PRA,2019-05-10,2020-09-11,67,5,5,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,490
92,TAK-906-1007,I,GI,6,6,0.0,0.0,100.00%,1.0,0.0,Celerion,2020-09-29,2020-10-30,31,5,5,,25.0,43.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
93,TAK-906-1006,I,GI,12,12,0.0,0.0,100.00%,1.0,0.0,Celerion,2019-03-30,2019-05-04,35,5,5,,56.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
94,TAK-954-2003,II,GI,48,36,37.0,2.0,75.00%,1.0,0.0,PRA,2019-07-12,2020-10-16,46,5,5,,96.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,462
95,AP26113-11-101,II,Oncology,137,137,0.0,45.0,100.00%,10.0,0.0,TBD,2020-02-11,2020-07-30,169,5,5,,,,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,170
96,AP26113-13-201,II,Oncology,222,222,0.0,167.0,100.00%,80.0,0.0,PRA,2016-11-14,2016-12-23,39,5,5,,0.0,,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
97,AP32788-15-101,II,Oncology,336,226,186.0,183.0,67.26%,95.0,28.0,PRA,2020-05-29,2020-09-04,98,5,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
98,AP26113-15-107,I,Oncology,1,0,0.0,0.0,0.00%,1.0,0.0,INC Research,2016-12-04,2017-06-26,204,5,5,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
99,AP26113-15-108,I,Oncology,1,0,0.0,0.0,0.00%,1.0,0.0,INC Research,2016-11-03,2017-06-26,235,5,5,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235
100,AP26113-13-301,III,Oncology,270,275,45.0,126.0,101.85%,150.0,18.0,PRA Health Sciences,2018-02-19,2019-09-20,122,5,5,,,,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,578
101,Brigatinib-2001,II,Oncology,80,72,0.0,45.0,90.00%,1.0,0.0,TBD,2019-09-03,2019-11-12,70,5,5,,132.0,,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
102,TAK-831-1005,I,NS,48,50,50.0,3.0,104.17%,1.0,0.0,PRA,2018-09-09,2018-10-02,23,5,5,,8.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
