Study,Matched Study ID,Did or not,TAU/BU,CRO,Type,Lock Date,Unlock Date,Re-lock Date,Operating model,Reasons,Unlocked Source,Data Category,Process,Study Included in DB Unlock QE (Jul-Dec'19),CAPA or QE?,Comment,
TAK954-1007 ,TAK-954-1007,1,GI,PRA EDS,Final,6-Sep-19,1-Apr-20,,TDOM 1.0,"Mapping error in SDTM PP domain (PK parameter), ADPC and ADPP. Issues identified during post lock TLF review.",SDTM ,PK data,SDTM mapping error and Data Review (bioassay scientist),,,Due to timing this study was not included in the DB Unlock QI.,
TAK-925-2001,TAK-925-2001,1,Neuro,IQVIA,Final,22-Jun-20,12-Nov-20,,TDOM 2.0,Vendor identified an error in calculations on their programming,Third party data,XD (Specialty data),Third party vendor management,,CAPA,"As Takeda was blinded to the calculation performed by Clinilabs, unclear whether there would be means to catching this programmatic issue",
Vedo-1019,Vedolizumab-1019,1,ECD,Celerion,Final,,,,,"Bioanalytical lab data issue identified and QPS performed QC and QA again, and redelivered QC’d and QA’d data to Celerion. Celerion updated SDTM.PC, related ADaM and PK TFLs and redelivered to Takeda.",SDTM ,PK,Data Review (PK),,,No formal unlock documentation was properly created/authorized. Takeda CDS TAU head learned of this event though evaluation of other post-lock issues and has notified Celerion of the procedural misstep. Celerion to investigation and provide unlock documentation,
TAK954-1007 ,TAK-954-1007,1,GI,PRA EDS,Final,,9-Jul-20,,TDOM 1.0,Issue with metabolite and concerns with data integrity at bioanalytical lab requiring reanalysis of PK concentration data. Missing protocol deviation from source system (CTMS) identified as part of Takeda audit post DBL.,CTMS and SDTM ,"PK data, protocol deviations",Third Party Vendor Management and Data Review (bioassay scientist),,,This is the third unlock for this trial since September 2019. Matt K. and Yeonhee (CQA) notified of potential serious misconduct on 10-Jun-2020. Due to timing this study was not included in the DB Unlock QI.,
TAK-954-2003,TAK-954-2003,1,GI,PRA EDS,Final,28-Aug-19,3-Sep-20,16-Oct-20,TDOM 1.0,Lab audit found concentration data that was incorrect. Same as TAK-954-1007. Note that this study started before TDOM 1.0 was created.,Third party data,PK,Third party vendor management,,CAPA,,
TAK-994-1001,TAK-994-1001,1,Neuro,PRA EDS,Final,24-Jun-20,2-Jul-20,24-Jul-20,TDOM 2.0,"Error in disposition data as a result of an edit check that did not take dose time into consideration (End of treatment reason recorded as completed however subject did not take 2nd/PM dose of medication due to AE). Takeda operating model does not include Takeda data review plan, only review of data by medical",EDC and SDTM,DS data,Data Review/Data Cleaning,,,,
TAK-994-1001,TAK-994-1001,1,Neuro,PRA EDS,Final,24-Jul-20,10-Aug-20,28-Sep-20,TDOM 2.0,"Known, tolerable cross-functional risk at the time of initial lock. Based on internal/external expert review of study results, opted to invest in expanded data results for a more comprehensive safety analysis/reporting. Preference for data results/analysis to come from the original vendor source file for consistency and traceability (rather than deriving any results in ADaM). Need to evaluate whether this scenario should be defined as out of scope as future refinement of unlock definition.",Third party data,EG dataset,Clinical Science/Cardiologist KOL review and recommendation for further data reporting,,,,
Pevonedistat-3001 Unlock #2,,2,Onc Late,PPD,IA,24-Jan-20,5-Feb-20,6-Mar-20,TOP,Unlock #2 - Blast data at screening (SCR BMA) issue was raised by IRC group during review. ,EDC,Lab data,Data Review and Monitoring,,QE,Blast data results were incorrect in EDC (versus source documentation) for an additional 3 patients.  This is the 2nd unlock for the same Blast data issue. CDS TAU Head informed SET that relock will not occur until SET performs full gap analysis on Blast data being sent to the IRC. Retraining to respective team members has been provided.,
TIMP-GLIA-5001,TIMP-GLIA-5001,1,GI,PRA RWS,Final,,30-Jan-20,,TDOM 1.0,Incorrect version of the vendor transfer was used for the final deliverable.,SDTM ,, Incorrect Data Set version,X,,,
TIMP-GLIA-5001,TIMP-GLIA-5001,1,GI,PRA RWS,Final,Relock Jan-20,26-May-20,,TDOM 1.0,Final NeoGenomics data did not include all expected results needed for CSR. The DTS approved by the bioassay scientist but required updates to correct error in the dataset structure and include new tests results.,SDTM ,Biomarker data,Third Party Vendor Management and Data Review (bioassay scientist),,,This is the second unlock for this trial since January 2020. Due to timing this study was not included in the DB Unlock QI.,
Vedo-1019,Vedolizumab-1019,1,ECD,Celerion,Final,Relock tbd,4-Nov-20,,,PP needed additional parameters to complete sensitivity analyses. LB significant flags were incompletely populating in SDTM and needed for safety tables,SDTM ,PP and LB,Data Review (PK) and Data cleaning,,,,
SHP-634-402,SHP634-402,1,Rare,PPD,Final,24-Nov-20,,,CTOM,"After PPD stats created the analysis datasets, the start date of Prior PTH was determined to be incorrect after TLFs were run which impacts 50% of topline TLFs and additional TLFs as well.  Due to the volume of TLFs impacted, and after consulting with Joe Gao (Head Biostats for Rare) he agreed to unlock the database after the site confirms the data is erroneous.",EDC and SDTM,CM,Data Review/Data Cleaning,,,"Data was changed in error during the final round of SAE reconciliation.  Site was asked to update the date of first dose of study drug, which was done, but the site also updated the date of first dose of prior parathyroid hormone.  This was not identified until after DBL.  Of note, there were no edit checks (programmed or manual) on this data point.  Considering Inclusion #4 (History of hypoparathyroidism for at least 12 months prior to rhPTH(1-84) treatment,",
,SHP634-402,1,,,,,,,,,,,,,,defined by the requirement for supplemental calcium and/or active vitamin D to maintain,
,SHP634-402,1,,,,,,,,,,,,,,serum calcium along with an undetectable or insufficient PTH concentration.) there probably should have been an edit check to confirm the start date of prior PTH was at least 12 months before enrollment.  ,
DEN-307,DEN-307,1,VBU,IQVIA,Final,6-Oct-20,25-Nov-20,15-Dec-20,TOP,"Takeda Stats identified SDTM programming issue (PDs were being truncated) as part of final TLF review post DBL. At the time of lock, Takeda Stats requested a new data source (CTMS) be mapped to SDTM for reporting Protocol Deviations. This does not follow standard process since significant PDs were captured in EDC and mapped to SDTM. While the investigation is currenlty ongoing at IQVIA, it appears that a comprehensive QC was not performed by BIOS to ensure updates in SDTM were programmed correctly a final dry run was not performed prior to DBL to verify statistical outputs were correct.",SDTM ,Protocol Deviations,Inadequate Data Review and Lack of Dry Run,,,"SQS does not participate in Data Review however the request for a new data source could have been identified much earlier in the study life cycle if Stats reviewed available data in SDTM. In addition, any time a new data source is added to SDTM there should be a full QC and dry run performed to identify potential programming issues and ensure data traceabillity. Finally, there were 2 PDs that were classified incorrectly that were only identified post DBL. These were flagged by Takeda Medical and Ops in 2019 but there was not follow-up to ensure the deviations were reclassified as major per Takeda feedback.",
Brigatinib 2002,Brigatinib-2002,1,ONC,PRA,IA,23-Nov-20,7-Dec-20,11-Dec-20,TDOM,"Takeda SQS identified several SDTM programming issues during Topline listing creation, several of which are related to the consistency of data entry between the SAE form, Death form, and Long Term Survival form. In addition, there were data entry issues identified for Tumor response dates that are causing issues in the Long Term response listings. For many of these issues, the data entry was only a few days prior to the DBL date, so it appears it was not caught/cleaned before the DBL.",EDC and SDTM,"SDTM domains: SS, DD, TU, TR, AE",Data Entry/Data Cleaning,,,"The original data entry issues were identified on November 25th, and root cause analysis determined to be due to ldata entry that was not entered a day before lock. Recommendation to PRA that they institute a process on how to clean data that is entered at the last minute.",
,Brigatinib-2002,1,,,,,,,,,,,,,,,
,Brigatinib-2002,1,,,,,,,,,,,,,,"Additional findings were discovered during the creation of the topline listings - the majority of these issues were linked to inconsistencies in similar data across EDC pages (e.g. Autopsy result in SAE form was 'No', but on the Survival status the same question was answered 'Unknown'). There was also an EDC error identified that did not copy an AE term properly from the AE to SAE form (impacting 1 SAE record). ",
Brigatinib 2002,Brigatinib-2002,1,ONC,PRA,IA,11-Dec-20,11-Jan-21,15-Jan-21,TDOM,PRA programming noted a missing variable in the SDTM DV domain: 'Deviation deemed important'. This field is available in the CTMS system but was not included in the SDTM specifications therefore was not included in the final SDTM domain.,SDTM,SDTM domains: DV,SDTM mapping error,,,"The PRA and Takeda Programming teams discussed the option of whether this variable could mapped to ADaM domain instead of SDTM. There is precedent for this, however, the best practice is to map to SDTM to align with Takeda standard process as well as preserve the traceability of the data.",
Brigatinib 2002,Brigatinib-2002,1,ONC,PRA,IA,15-Jan-21,16-Mar-21,23-Mar-21,TDOM,"During the review of the TLFs for China PK subjects, it was noted that 9 subjects data was not included in the results. PRA traced back the issue and noted that a programming macro pulled the PK data from development server instead of a production server. ",SDTM,SDTM Domains: PC,SDTM mapping error,,,23-Mar-2021: PRA has opened a CAPA to evaluate their QC processes. ,
HyQvia 161503,,2,PDT,IQVIA,IA,15-Nov-20,29-Jan-21,TBD,TTDOM,Clin Medicine identified several non-critical data issues upon review of the TLFs.,EDC,"LB (serology), VS, AE, possibly SC",Data Entry/Cleaning,,,"When discussing this with Joanne Nagel it became clear that neither she nor the SET understood that, because the IA was for the purpose of CSR and submission, that the database ""freeze"" (as they were calling it) was actually a database lock and thus would require aformal unlock.  In my discussion with Joanne she indicated that the study team did not want to take the IA cut in December due to the volume of issues in the dry run TLFs but IQVIA pushed for it and Takeda agreed.  I discussed with Marc Buggelsheim who agreed this is considered a DB unlock and agreed to reach out to the COM (Lee Hughes) to determine why we took the cut if there were concerns about the data or TLF quality.",
,,2,,,,,,,,NOTE:  Data corrections in EDC were initiated before MB was made aware of the issue.  The unlock date of 1/29/21 is the date I became aware of the issue and discussed with the CDS lead.,,,,,,"[2/3/21 update]  Before signing the unlock documentation I asked if there was the potential for additional data issues to be identified when the final TLFs (and updates from this dry run) were received.  Joanne Nagel's response was ""The team agreed in our last cross-functional call that once Dry Run #2 updates are made specific to EDC changes that we will not go through this exercise again and that the EDC changes are a finite list and no more changes/updates moving forward. This was stressed to CLIN MED multiple times during the call and they agreed.""",
TAK-951-1001,TAK-951-1001,1,GI,PRA EDS,Final,22-Feb-21,24-Feb-21,2-Mar-21,TTDOM,While completing TLF programming post lock it was discovered that EG SDTM dataset was missing EGTPT and EGTPTNUM. These data need to be added to the SDTM EG dataset to complete analysis.,SDTM ,SDTM domains: EG,SDTM mapping error and Lack of Dry Run TLF review,,,"The issue is on the ECG 12 Lead CRF. The ECG CRF is present at the Screening, Day -1, Day 2, ET & Unscheduled visits. The Day 2 ECG CRF has a hardcoded “24 hour” Planned Time Point. This specific Day 2 CRF was not annotated with the EGTPT and EGTPTNUM and the EGTPT/EGTPTNUM is not included in the SDTM dataset. This issue was not identified as part of SDTM Oversight performed by CDS and SQS or external review by Etera. Per PRA: There was no dry run of TFLs but an interim of some TFLs back in April/May of 2020. It was not caught at the time of lock because the timepoint is only applicable to Part 3 of the study and Part 1 was only included in the interim TFLs. When SDTM was initially built, there was no data applicable to this variable.",
TAK-994-1503,TAK-994-1503,1,Neuro,PRA EDS,Final,28-Jan-21,9-Mar-21,11-Mar-21,TTDOM,"While completing TLF review, SQS discovered that LBSTRES- variables were not populated with SI Units as expected per CDISC/FDA conformance rules and Takeda's table shell requirements. While the database was unlocked, select findings in other domains that were unresolved at the time of lock were also corrected.",SDTM ,LB,SDTM programming error and lack of full Dry Run TLF review,,QE,"PRA has opened a QE. Note that PRA EDS does not conform to TTDOM principles or industry best practice of generating a SDTM Spec. Also, while a topline dry run was performed due to the exceptional criticality of this study, safety tables were not included and therefore this critical finding was not caught pre-lock.",
TAK-831-2002,TAK-831-2002,1,Neuro,IQVIA,Final,12-Feb-21,25-Mar-21,7-Apr-21,TOP,"Upon review of the topline results, SQS discovered that IQVIA had failed to program baseline per the SAP. The quality investigation also uncovered data nuances in the AiCure data transfer that were not previously understood which resulted in imprecise SDTM mapping of the AiCure data (in DM) and identification of additional protocol deviations. The database was unlocked to enhance the SDTM data mapping/programming and update the protocol deviations source data.","SDTM, Protocol deviations","DM, DV","Dosing diary data, SDTM programming error, protocol deviations data",,QE,IQVIA has opened a QE.,
TAK-935-2002 (Elektra),,2,Neuro,PPD,Final,N/A (lock performed by OVID),3-May-21,,N/A,"Disposition (end of treatment and end of study reasons missing for several subjects or invalid per source); Demographics Race data inconsistent with source. Takeda petitioned OVID repeatedly to correct prior to final CSR; now that Takeda is Sponsor, we are proceeding with corrections.",EDC,"DM, DS",,,,"These don’t change the efficacy outcome/conclusions, but these errors provide unnecessary risk and complexity to annual reporting, integrated analyses, and eventual submission(s) and Regulatory review/dialogue. The errors are in the most fundamental datasets and, given such a small patient population, the cross-functional leaders involved have continued to pursue corrections for data integrity and submission-readiness.",
TAK-659 C34008,,2,Early Onc,PRA PR,Final,25-Feb-21,14-May-21,,TDOM 1.0,"PK raw data not mapped to SDTM. In previous IA, raw PK datasets were used for analysis. This vendor data had been incorporated into SDTM shortly before DBL. No dry run was ever conducted on this data. Also, data reconciliation listings were not programmed to individual collection timepoints and PRA monitors did not implement a manual correction step for an EDC flaw.",SDTM,PK,"PK review, lack of dry run, 3rd party reconciliation, SDTM programming",,,Technically the database is still open bc of one active patient. PRA did run their TDOM 1.0 Data Unlock corrective actions on this database prior to lock with supervision of a CDS Lead (assigned approx 1 mo prior to DBL for this activity),
SHP721-301,,2,GI,PPD,Final,,,,,Correct reponses for dilation history and include new histology data (new CRF) at request of FDA.,,,,,,,
SHP721-302,,2,GI,PPD,Final,,,,,Correct reponses for dilation history and include new histology data (new CRF) at request of FDA.,,,,,,,
SHP-643-302,,2,RGH,IQVIA,Interim,28-May-21,9-Jun-21,15-Jun-21,TTDOM (previously CTOM),"IQVIA Biostatistics found an issue in SDTM.IS when checking outputs prepared for 2nd interim analysis after SDTM database lock on 28/May2021. The issue was identified during IQVIA internal Quality Control Review of TLF before the finalization. The records of “VISIT 28 DAY 392/EOS” for subject “007-0001” and “004-0001” were not included in SDTM.IS while the data was collected in raw.ADA (Visit 28 Day 392 / EOS/ET) and raw.F_ADA_MAND (evtV28D392EOS). In the program of SDTM, IQVIA Biostatistics merged raw.ADA (Vendor data) and raw.F_ADA_MAND (CRF data) by subject, visit and datetime. But it was missed to fix the value of EOS visit for merging raw.ADA and raw.F_ADA_MAND in SDTM programming after having received the new data for 2nd interim analysis. As a result, EOS visit records were not included in SDTM.IS. IQVIA Biostatistics double checked all other visits and there was no issue. Given that this is full spectrum of possible visits for this study, a similar issue will not happen in the final database lock.",SDTM,ADA,,,,,
