Trial Id,Protocol #,fmt_Protocol#,Legacy Protocol ID,Product Name,Full Title,Short Title,Protocol Phase ,Protocol Status,Indication,Therapeutic Area,Operational TA,Registry,Pediatric / Non-Pediatric,Study Type,Study Design: Primary Purpose (Interventional),Study Design: Time Perspective (Observational),Study Design: Study Model (Observational),Planned Enrollment,Actual Enrollment,Actual Screened,Actual Rescreened,Actual Screen Failure,Actual Randomized / Dosed,Actual Early Terminated,% Enrollment Completed,Planned Sites,Active Sites,Legacy Company,CRO,COM/CPOM,Primary Contact,Medical Monitor,COPL/POOL,Study Site Engagement,EudraCT#,Expanded Access Availability / Status,Human Subjects Protection Review Board Status,Study Imposed by EMA Flag,Device/Product Not Approved or Cleared by US FDA,Wave,Prioritization,Tier Category,Source CTMS,Planned Primary Study Completion Date,Actual Primary Study Completion Date,Synopsis Planned Date,Synopsis Actual Date,Protocol Planned Date,Protocol Actual Date,First Site Activated Planned Date,First Site Activated Actual Date,FSS Planned Date,FSS Actual Date,FSI Planned Date,FSI Actual Date,FSFV Planned Date,FSFV Actual Date,LSI Planned Date,LSI Actual Date,LSI Avg Tx  Planned Date,LSI Avg Tx Actual Date,LSO Planned Date,LSO Actual Date,LSO 2 Planned Date,LSO 2 Actual Date,LSO 3 Planned Date,LSO 3 Actual Date,LSO 4 Planned Date,LSO 4 Actual Date,LSO Final Planned Date,LSO Final Actual Date,LSLV Planned Date,LSLV Actual Date,DBL Planned Date,DBL Actual Date,DBL 2  Planned Date,DBL 2 Actual Date,DBL 3 Planned Date,DBL 3  Actual Date,DBL 4 Planned Date,DBL 4 Actual Date,DBL Final Planned Date,DBL Final Actual Date,KA/Flash Planned Date,KA/Flash Actual Date,KA 2 10601 Planned Date,KA 2 Actual Date,KA 3 Planned Date,KA 3 Actual Date,KA 4  Planned Date,KA 4 Actual Date,KA Final  Planned Date,KA Final Actual Date,Topline Planned Date,Topline Actual Date,TFL Planned Date,TFL Actual Date,TLF Planned Date,TLF Actual Date,TLF 2 Planned Date,TLF 2 Actual Date,TLF 3 Planned Date,TLF 3 Actual Date,TLF 4 Planned Date,TLF 4 Actual Date,TLF Final Planned Date,TLF Final Actual Date,CSR Planned Date,CSR Actual Date,CSR 2  Planned Date,CSR 2  Actual Date,CSR 3  Planned Date,CSR 3 Actual Date,CSR 4 Planned Date,CSR 4 Actual Date,CSR Final Planned Date,CSR Final Actual Date,OA 1 Planned Date,OA 1 Actual Date,OA 2 Planned Date,OA 2 Actual Date,OA 3 Planned Date,OA 3 Actual Date,Trial Summary Planned Date,Trial Summary Actual Date,Oversight Needs Assessment Planned Date,Oversight Needs Assessment Actual Date,CDO Quality Risk Assessment Planned Date,CDO Quality Risk Assessment Actual Date,Primary Planned Date,Primary Actual Date
1-1BP8VZ,TAK-438_115,'TAK-438_115,,vonoprazan,"A Phase 1, Double-Blind, Parallel Group Study to Evaluate the Safety and Pharmacokinetics of Quadruple Therapy (Bismuth, Clarithromycin, and Amoxicillin) With TAK-438 Versus Quadruple Therapy With Lansoprazole.",TAK-438 Bismuth Drug interaction study,I,Closed,00002 GERD,GI,,,,DI High Complexity,,,,30,30,211,,181,,,100.00%,1,,,IQVIA,Ippei Nakayama,,,,,,,,,,,,,STARS Inactive,,,1/25/2013,1/25/2013,12/22/2015,12/22/2015,,,9/5/2016,9/5/2016,9/21/2016,9/21/2016,,,3/30/2017,3/30/2017,,,5/11/2017,5/11/2017,,,,,,,,,,,5/17/2017,5/17/2017,,,,,,,,,7/5/2017,7/5/2017,,,,,,,,,,,,,9/25/2017,9/25/2017,,,,,,,,,12/18/2017,12/18/2017,,,,,,,,,,,,,,,12/18/2017,12/18/2017,,,,,,
1-1CG7X7,Vedolizumab-3001,'Vedolizumab-3001,,Entyvio,"An Extension Study to Evaluate The Long-Term Efficacy and Safety of Vedolizumab IV In Patients with Primary Sclerosing Cholangitis, with Underlying Inflammatory Bowel Disease.",3001 P3 PSC Extension (Vedolizumab),III,Cancelled,Other,GI,,,,,,,,215,0,0,,0,,0,0.00%,90,,,,Rosalida Leone,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1CJZ81,TAK-828-1003,'TAK-828-1003,,TAK-828,"A Randomized, Double-Blind, Placebo-Controlled, Phase 1 Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Doses of TAK-828 in Patients with Crohn’s Disease (CD)","Phase 1b, MRD in CD Patients",IB,Cancelled,00027 (CD) Crohn's disease,GI,,,,,,,,12,0,0,,0,,0,0.00%,2,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1CJZC7,TAK-438_302,'TAK-438_302,,vonoprazan,"A Randomized Double-Blind, Double-Dummy, Phase 3 Study to Evaluate the Efficacy and Safety of Oral TAK-438 20 mg Compared to Lansoprazole 30 mg Once or Twice-Daily in the Treatment of Endoscopically Confirmed Gastric Ulcer Subjects With or Without Helicobacter pylori Infection",China IMCT Study-GU,III,Terminated,Cancer (glioma),GI,,,,,,,,830,236,5,,114,1,0,28.43%,68,,,IQVIA,,Sook Koon Michelle Foo,,,,,,,,,,,,Medidata CTMS (Pharma),,,12/6/2012,12/6/2012,5/7/2014,5/7/2014,,,4/17/2017,4/17/2017,6/15/2017,6/15/2017,,,1/22/2020,1/22/2020,,,3/17/2020,3/17/2020,,,,,,,,,,,7/7/2020,7/7/2020,,,,,,,,,7/14/2020,7/14/2020,,,,,,,,,,,,,8/3/2020,8/3/2020,,,,,,,,,10/20/2020,10/20/2020,,,,,,,,,,,,,,,1/29/2021,1/29/2021,,,,,,
1-1CJZCH,TAK-438_304,'TAK-438_304,,vonoprazan,"A Randomized Double-Blind, Double-Dummy, Phase 3 Study to Evaluate the Efficacy and Safety of Oral TAK-438 20 mg Compared to Lansoprazole 30 mg Once- or Twice-Daily in the Treatment of Endoscopically Confirmed Duodenal Ulcer Subjects With or Without Helicobacter pylori Infection",China Registration Study,III,All Activities Closed,Cancer (glioma),GI,Early GI,,,Interventional,,,,530,530,3,,248,1,0,100.00%,68,,,IQVIA,,Sook Koon Michelle Foo,,,,,,,,,,,,Medidata CTMS (Pharma),,,12/6/2012,12/6/2012,11/21/2012,11/21/2012,,,4/5/2017,4/5/2017,5/4/2017,5/4/2017,,,1/29/2019,1/29/2019,,,4/12/2019,4/12/2019,,,,,,,,,,,9/5/2019,9/5/2019,,,,,,,,,9/9/2019,9/9/2019,,,,,,,,,,,,,10/9/2019,10/9/2019,,,,,,,,,1/9/2020,1/9/2020,,,,,,,,,,,,,,,3/10/2020,3/10/2020,,,,,,
1-1CJZCS,TAK-935-1005,'TAK-935-1005,,soticlestat (TAK-935),A Phase 1 Bioavailability and Food Effect Study to Compare Tablet versus Solution Formulation and to Assess the Effect of  Food on the Bioavailability of a Single TAK-935 Dose in Healthy Subjects,Rel BA,I,Closed,Other,NS,,,,BA,,,,9,9,21,,12,,,100.00%,1,1,,PPD,Kumudinie Karunaratne,,,,,,,,,,Wave 1,Advance,,STARS Inactive,,,4/29/2016,4/29/2016,6/28/2016,6/28/2016,,,9/6/2016,9/6/2016,10/4/2016,10/4/2016,,,10/4/2016,10/4/2016,,,11/9/2016,11/9/2016,,,,,,,,,,,1/11/2017,1/11/2017,,,,,,,,,11/11/2016,11/11/2016,,,,,,,,,,,,,3/22/2017,3/22/2017,,,,,,,,,5/24/2017,5/24/2017,,,,,,,,,,,,,,,5/24/2017,5/24/2017,,,,,,
1-1DC1ZJ,TAK-418-1001,'TAK-418-1001,,TAK-418,"A Randomized, Double-Blind, Placebo-Controlled, Ascending Oral Single Dose Trial to Evaluate the Safety, Tolerability, and Pharmacokinetics of TAK-418 in Healthy Subjects",SRD/MRD,I,Closed,Other,NS,,,,SRD/FIM,,,,40,40,146,,106,40,2,100.00%,1,1,,PRA,,,,,,,,,,,,,,STARS Inactive,,,8/3/2016,8/3/2016,4/7/2017,4/7/2017,,,6/27/2017,6/27/2017,8/8/2017,8/8/2017,,,11/14/2017,11/14/2017,,,5/12/2018,5/12/2018,,,,,,,,,,,6/7/2018,6/7/2018,,,,,,,,,6/15/2018,6/15/2018,,,,,,,,,,,,,6/29/2018,6/29/2018,,,,,,,,,11/29/2018,11/29/2018,,,,,,,,,,,,,,,11/29/2018,11/29/2018,,,,,,
1-1DC1ZS,TBD-1-1DC1ZS,'TBD-1-1DC1ZS,,TAK-418,PET validation,PET validation,0,Cancelled,Other,NS,,,,EM Phase 0,,,,6,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DC1ZT,TBD-1-1DC1ZT,'TBD-1-1DC1ZT,,TAK-418,DDI 1,DDI 1,I,Cancelled,Other,NS,,,,DI Low Complexity,,,,30,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DC20B,TAK-418-0004,'TAK-418-0004,,TAK-418,"A Study Measuring LSD-1 Occupancy in Healthy Adult Volunteers as a Function of TAK-418 Dose, TAK-418 Plasma Concentration and Liquid Biomarker [18F]MNI-1054",PET occupancy,I,Terminated,Kabuki Syndrome,NS,Early NS,,,,,,,16,7,10,,3,6,1,43.75%,1,,,PRA,,Rhett Behrje,,,,,,,,,,,,Medidata CTMS (Pharma),,,7/4/2019,7/4/2019,12/19/2019,12/19/2019,,,3/5/2020,3/5/2020,1/8/2020,1/8/2020,,,3/3/2020,3/3/2020,,,3/19/2020,3/19/2020,,,,,,,,,,,7/29/2020,7/29/2020,,,,,,,,,,,,,,,,,,,,,,,8/30/2020,8/30/2020,,,,,,,,,11/16/2020,11/16/2020,,,,,,,,,,,,,,,11/16/2020,11/16/2020,,,,,,
1-1DC20E,TAK-418-1004,'TAK-418-1004,,TAK-418,rBA,BA rel,I,Withdrawn,Kabuki Syndrome,NS,,,,,,,,16,,,,,,,,1,,,Celerion,,Eric Henricks,,,,,,,,,,,,Medidata CTMS (Pharma),,,11/21/2019,11/21/2019,2/5/2020,2/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/21/2021,,,,,,,
1-1DC217,TAK-828-1004,'TAK-828-1004,,TAK-828,"A Fixed Sequence, Open-Label, 2-Period Crossover Study to Evaluate the Effect of Potent CYP3A4 Inhibitor Itraconazole on the Steady State Pharmacokinetics of TAK-828 in Healthy Adult Subjects",Drug Drug Interaction Study,I,Cancelled,00027 (CD) Crohn's disease,GI,,,,,,,,12,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DEG3T,TBD-1-1DEG3T,'TBD-1-1DEG3T,,TAK-527,Relative BA Study,TAK-527 Rel BA Study,I,Cancelled,Other,NS,,,,,,,,24,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DEG4D,TBD-1-1DEG4D,'TBD-1-1DEG4D,,TAK-527,PET Occupancy Study,TAK-527 PET Receptor Occupancy Study,I,Cancelled,Other,NS,,,,,,,,16,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DEG44,TBD-1-1DEG44,'TBD-1-1DEG44,,TAK-527,PET Validation Study,TAK-527 PET Tracer Validation Study,I,Cancelled,Other,NS,,,,,,,,6,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DUG1R,Vedolizumab-3036,'Vedolizumab-3036,,Entyvio,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Trial to Evaluate the Safety and Efficacy of Vedolizumab in the Treatment of the Grade B-D Acute Intestinal Graft vs Host Disease (GvHD) in Adults Undergoing Allogeneic Hematopoietic Stem Cell Transplantation (HSCT)",GvHD Treatment Pivotal,III,Planned,(GvHD SR) Graft versus host disease Steriod Refractory,GI,,,,,,,,460,,,,,,,,100,,,PRA,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1DUG15,Vedolizumab-3035,'Vedolizumab-3035,,Entyvio,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Vedolizumab in the Prophylaxis of Intestinal Acute Graft-Versus-Host Disease in Subjects Undergoing Allogeneic Hematopoietic Stem Cell Transplantation",GvHD Prophylaxis Pivotal,III,Recruitment Complete,Post Operative Recovery,GI,Late GI,,,,Prevention,Prospective,Other,558,343,456,,113,343,154,61.47%,150,113,,PRA,,Mary Traynor,,Johan Jansson,,2018-002141-11,,,,,NA,Advance,,Medidata CTMS (Pharma),,,4/13/2018,4/13/2018,6/15/2018,6/15/2018,,,2/6/2019,2/6/2019,3/26/2019,3/26/2019,,,5/10/2021,5/10/2021,,,11/6/2021,,,,,,,,6/28/2022,,,,2/17/2022,,,,,,,,8/16/2022,,3/10/2022,,,,,,,,8/23/2022,,,,,,3/10/2022,,,,,,,,9/6/2022,,6/23/2022,,,,,,,,12/21/2022,,,,,,,,12/21/2022,,,,,,,
1-1EIATT,Lubiprostone-3001,'Lubiprostone-3001,,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic Idiopathic Constipation",Lubiprostone CIC Russia,III,Closed,Other,Others,,,,,,,,204,173,0,,13,0,0,84.80%,20,,,IQVIA,Sook Koon Michelle Foo,,,,,,,,,,,,,STARS Inactive,,,,,5/13/2015,5/13/2015,,,2/17/2016,2/17/2016,3/2/2016,3/2/2016,,,12/6/2016,12/6/2016,,,1/23/2017,1/23/2017,,,,,,,,,,,3/21/2017,3/21/2017,,,,,,,,,3/28/2017,3/28/2017,,,,,,,,,,,,,5/4/2017,5/4/2017,,,,,,,,,6/26/2017,6/26/2017,,,,,,,,,,,,,,,6/26/2017,6/26/2017,,,,,,
1-1EIAU4,Lubiprostone-3002,'Lubiprostone-3002,,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic Idiopathic Constipation",Lubiprostone CIC South Korea,III,Closed,Other,Others,,,,,,,,150,108,0,,17,21,0,72.00%,13,,,IQVIA,Sook Koon Michelle Foo,,,,,,,,,,,,,STARS Inactive,,,,,5/14/2015,5/14/2015,,,4/14/2016,4/14/2016,5/6/2016,5/6/2016,,,1/6/2017,1/6/2017,,,2/17/2017,2/17/2017,,,,,,,,,,,4/21/2017,4/21/2017,,,,,,,,,4/28/2017,4/28/2017,,,,,,,,,,,,,5/26/2017,5/26/2017,,,,,,,,,7/18/2017,7/18/2017,,,,,,,,,,,,,,,5/29/2020,,,,,,,
1-1EIAUN,Lubiprostone-3003,'Lubiprostone-3003,,Amitiza (lubiprostone),"A Phase 3, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lubiprostone for the Treatment of Chronic, Idiopathic Constipation",Lubiprostone CIC Mexico,III,Closed,Other,Others,,,,,,,,204,172,0,,50,0,0,84.31%,12,,,IQVIA,Jennifer Boynton,,,,,,,,,,,,,STARS Inactive,,,,,5/20/2015,5/20/2015,,,5/11/2016,5/11/2016,5/25/2016,5/25/2016,,,4/28/2017,4/28/2017,,,6/5/2017,6/5/2017,,,,,,,,,,,7/28/2017,7/28/2017,,,,,,,,,8/14/2017,8/14/2017,,,,,,,,,,,,,8/29/2017,8/29/2017,,,,,,,,,11/28/2017,11/28/2017,,,,,,,,,,,,,,,1/15/2019,,,,,,,
1-1EIAVJ,C28003,'C28003,,TAK-580,"An Open-Label, Phase 1b, Multi-Arm Study to Evaluate the Safety, Tolerability, and Pharmacodynamics of Investigational Treatments in Combination With Standard of Care Immune Checkpoint Inhibitors in Patients With Advanced Melanoma",,IB,Closed,Solid.All Comers,Oncology,,,,,,,,106,7,1,,0,0,0,6.60%,15,,,PRA,,,,,,,,,,,,,,STARS Inactive,,,11/17/2015,,1/11/2016,,,,,,7/5/2016,,,,12/18/2017,,5/9/2018,,5/9/2018,,,,,,,,,,,,7/15/2018,,,,,,,,,,9/15/2018,,,,,,,,,,,,,,8/9/2018,,,,,,,,,,1/21/2019,1/21/2019,,,,,,,,,,,,,,,1/21/2019,,,,,,,
1-1EV4LF,TBD-1-1EV4LF,'TBD-1-1EV4LF,,,"A Phase 3, Randomized, Placebo-Controlled, Double-Blind Study of Oral Ixazomib
Citrate (MLN9708) Maintenance Therapy in Patients With Multiple Myeloma Following
Autologous Stem Cell Transplant",,III,Cancelled,Heme.Multiple Myeloma,,,,,,,,,1,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
